devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
WiFi Router	TP-Link	TL-WR1045ND	v2	Qualcomm Atheros QCA9558	1	720	8	64	-	5	b/g/n	-	-	1x 2.0	-	12 VDC, 1.5 A
WiFi AP	TP-Link	CPE220	v3	Qualcomm Atheros QCA9533	1	650	8	64	2	-	b/g/n	-	-	-	-	Passive PoE 24 VDC, 0.5 A
WiFi AP	ZBT	WE1026-H	NULL	MediaTek MT7620A	1	580	microSD	128	2	-	-	-	-	1x 2.0	-	-
Range Extender	NETGEAR	EX6130	NULL	MediaTek MT7620A	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	-	-
Router	ALFA Network	Quad-E4G	NULL	MediaTek MT7621A	2	880	32	256	-	5	-	-	-	1x 2.0	Yes	24 VDC
WiFi Router	ALFA Network	R36M-E4G	NULL	MediaTek MT7620A	1	580	16	64	2	-	b/g/n	-	-	-	Yes	12 VDC
WiFi Router	ASUS	RT-N12+	NULL	MediaTek MT7620N	1	580	8	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi AP	YunCore	XD4200	NULL	Qualcomm Atheros QCA9563	1	775	16	128	-	2	b/g/n	a/n/ac	-	-	Yes	12 VDC, PoE 802.3at
WiFi AP	YunCore	A782	NULL	Qualcomm Atheros QCA9563	1	775	16	128	-	2	b/g/n	a/n/ac	-	-	Yes	12 VDC, PoE 802.3at
WiFi AP	Crisis Innovation Lab	MeshPoint.One	NULL	Qualcomm Atheros IPQ4018	4	700	8	256	-	2	b/g/n	a/n/ac	-	-	Yes	PoE
WiFi Router	TP-Link	Archer A6	TW)	Qualcomm Atheros QCA9563	1	775	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	ipTIME	A6ns-M	NULL	MediaTek MT7621AT	2	880	16	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
WiFi Router	ZIO	FREEZIO	NULL	MediaTek MT7621AT	2	880	16	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	-
WiFi Router	ipTIME	A104ns	NULL	MediaTek MT7620A	1	-	8	64	5	-	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 2.0 A
unknown	ROSINSON	WR818	NULL	Qualcomm Atheros QCA9563	1	-	16	-	-	-	b/g/n	-	-	2x 2.0	Yes	-
Single Board Computer	FriendlyARM	NanoPi NEO Air	NULL	Allwinner H3	4	1200	microSDHC	512	-	-	b/g/n	-	4.0	1x OTG	Yes	5 VDC, 2.0 A
Single Board Computer	FriendlyARM	NanoPi NEO	NULL	Allwinner H3	4	1200	microSD	512	1	-	-	-	-	1x 2.0	Yes	5 VDC, 2.0 A
Single Board Computer	FriendlyARM	NanoPi M1 Plus	NULL	Allwinner H3	4	1200	8	1024	-	1	b/g/n	-	4.0	2x 2.0	Yes	5 VDC, 2.0 A
WiFi Router	TP-Link	TL-WR840N	v6	MediaTek MT7628N	1	580	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	Archer C20	v5	MediaTek MT7628NN	1	580	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	9 VDC, 0.6 A
WiFi Router	Edimax	RA21S	NULL	MediaTek MT7621A	2	880	16	256	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
WiFi Router	ipTIME	A8004T	NULL	MediaTek MT7621A	2	880	16	256	-	5	-	-	-	1x 3.0	Yes	-
WiFi Router	NETGEAR	WNDR4500	v3	Qualcomm Atheros QCA9563	1	750	128NAND	128	-	5	b/g/n	a/n	-	-	-	12 VDC, 1.5 A
WiFi AP	EnGenius	EMD1	NULL	Qualcomm Atheros IPQ4018	4	710	32	256	-	1	b/g/n	a/n/ac	-	-	-	-
WiFi Router	ZyXEL	Keenetic 4G III	rev. B	MediaTek MT7628NN	1	575	16	64	2	-	b/g/n	-	-	1x 2.0	Yes	12 VDC
WiFi Router	AsiaRF	AP7621-IL1	1	MediaTek MT7621A	2	880	16	512	-	2	b/g/n	a/n/ac	-	Yes	Yes	12 VDC
WiFi Router	Linksys	E2500	v4	MediaTek MT7628DAN	1	580	16	64	5	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 0.5 A
WiFi Router	NETGEAR	AC2400	NULL	MediaTek MT7621AT	2	880	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	Teltonika	RUT955	NULL	Atheros AR9344	1	550	microSDHC	128	4	-	b/g/n	-	-	1x 2.0	Yes	9-30 VDC, passive PoE
WiFi Router	Sitecom	WLR-8100	v1 002	Qualcomm Atheros QCA9558	1	720	16	128	-	5	b/g/n	a/n/ac	-	1x 3.0	-	12 VDC, 2.0 A
WiFi AP	Siemens	WS-AP3610	NULL	Atheros AR7161	1	680	16	128	-	1	b/g/n	a/n	-	-	Yes	48 VDC, 0.38 A, PoE 802.3af
WiFi AP	EnGenius	EAP2200	NULL	Qualcomm IPQ4019	4	717	128NAND	256	-	2	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A, PoE 802.3af
WiFi Router	TOTOLINK	A3	NULL	MediaTek MT7628AN	1	-	8	64	3	-	b/g/n	a/n/ac	-	-	Yes	9 VDC, 0.8 A
