devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
WiFi Router	I-O Data	WN-AX2033GR	NULL	MediaTek MT7621A	2	880	128NAND	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC
Single Board Computer	I2SE	Duckbill	v1	Freescale i.MX283	1	454	SD	128	1	-	-	-	-	1x 2.0 Device	Yes	-
WiFi Router	Intellidesign	Hyrax PCP-100	A	Atmel ATSAMA5D35	1	536	256NAND	256	2	-	b/g/n	-	-	Yes	Yes	-
WiFi Router	Inteno	DG301B	NULL	Broadcom BCM63268	2	400	128NAND	256	-	5	b/g/n	-	-	2x 2.0	Yes	12 VDC, 2.0 A
NAS	Intenso	Memory 2 Move	NULL	Ralink RT5350	1	360	8	32	1	-	b/g/n	-	-	1x 3.0	Yes	5 VDC (-USB), 3000 mAh battery
WiFi Router	Inventel	Livebox 1	DV4210	Broadcom BCM6348	1	256	8	16	2	-	b/g	-	-	1x 1.1 Device	Yes	15 VDC, 1.2 A
WiFi Router	Iomega	iConnect	NULL	Marvell 88F6281	1	1000	512NAND	256	-	1	b/g/n	-	-	4x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	ITian	Square One SQ201	NULL	Storm SL3516	1	300	16	128	-	5	b/g	-	-	3x 2.0	Yes	12 VDC, 4.0 A
Router	Itus Networks	Shield	NULL	Cavium CN7020 AAP 1.2	2	1000	SDHC	1024	-	3	-	-	-	-	Yes	12 VDC, 0.8 A
WiFi Router	JCG	JHR-AC876M	NULL	MediaTek MT7621AT	2	880	16	256	-	5	b/g/n	a/n/ac	-	1x 3.0	-	12 VDC, 3.0 A
WiFi Router	JCG	JHR-N805R	NULL	Ralink RT3050F	1	320	4	16	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	JCG	JHR-N825R	NULL	Ralink RT3052F	1	384	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	JCG	JHR-N926R	NULL	Ralink RT3052F	1	384	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	jjPlus	JA76PF2	NULL	Atheros AR7161	1	680	16	64	-	2	-	-	-	-	Yes	37-56 VDC, PoE 802.3at
Travel Router - Battery powered	Kingston	MLW221	NULL	MediaTek MT7620N	1	580	16	64	-	-	b/g/n	-	-	1x 2.0	Yes	1810 mAh battery
Travel Router - Battery powered	Kingston	MLWG2	NULL	MediaTek MT7620N	1	580	16	64	1	-	b/g/n	-	-	1x -USB (charging)	Yes	5 VDC (-USB), 4640 mAh battery
Single Board Computer	Lamobo	BananaPi R1	NULL	Allwinner A20	2	1000	microSD	1024	-	5	b/g/n	-	-	1x -USB (power)	Yes	5 VDC, 2.0 A (-USB)
WiFi Router	LB-LINK	BL-W1200	NULL	MediaTek MT7620A	1	580	8	64	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.0 A
Single Board Computer	Lemaker	Banana Pi	NULL	Allwinner A20	2	1000	SD	1024	-	1	-	-	-	2x 2.0	Yes	5 VDC, 2.0 A (-USB)
Single Board Computer	Lemaker	Banana Pro	NULL	Allwinner A20	2	1000	microSD	1024	-	1	b/g/n	-	-	2x 2.0	Yes	5 VDC, 2.0 A
WiFi Router	Lenovo	Newifi D1	NULL	MediaTek MT7621AT	2	880	32	256	-	3	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
Router	D-Team	Newifi D2 (Newifi3)	NULL	MediaTek MT7621AT	2	880	32	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
WiFi Router	Lenovo	Newifi mini Y1	NULL	MediaTek MT7620A	1	580	16	128	2	-	b/g/n	a/n/ac	-	1x 2.0	-	5 VDC, 1.0 A
WiFi Router	Lenovo	Newifi Y1S	NULL	MediaTek MT7620A	1	580	16	256	3	2	b/g/n	a/n/ac	-	3x 2.0	-	12 VDC, 2.0 A
Single Board Computer	Linksprite	pcDuino2	NULL	Allwinner A10	1	1000	microSD	1024	1	-	-	-	-	2x 2.0	Yes	-
Single Board Computer	Linksprite	pcDuino1	NULL	Allwinner A10	1	1000	microSD	1024	1	-	-	-	-	2x 2.0	Yes	-
Single Board Computer	Linksprite	pcDuino3	NULL	Allwinner A20	2	1000	microSD	1024	1	-	-	-	-	1x 2.0	Yes	-
Router	Linksys	AG241	v1	Texas Instruments TNETD7200ZDW	1	212	4	16	4	-	-	-	-	-	-	-
Router	Linksys	AG241	v2	Texas Instruments TNETD7200ZDW	1	212	4	16	4	-	-	-	-	-	Yes	12 VDC, 1.0 A
Router	Linksys	AG241	v2b	Texas Instruments TNETD7200ZDW	1	212	4	16	4	-	-	-	-	-	-	-
WiFi Router	Linksys	E1000	v1	Broadcom BCM4716	1	300	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	Linksys	E1000	v2.1	Broadcom BCM5357	1	300	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	Linksys	E1700	NULL	MediaTek MT7620A	1	580	8	64	-	5	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	Linksys	E2000	v1	Broadcom BCM4717	1	354	8	32	-	5	b/g/n	a/n	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	E2100L	1.0	Atheros AR9130	1	400	8	64	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Linksys	E2500	v1	Broadcom BCM5358	1	300	8	64	5	-	b/g/n	a/n	-	-	-	12 VDC, 1.0 A
WiFi Router	Linksys	E3000	v1	Broadcom BCM4718	1	480	8	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Linksys	E3200	v1	Broadcom BCM47186	1	500	16	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Linksys	E4200	v1.0	Broadcom BCM4718	1	480	16	64	-	5	b/g/n	a/n	-	1x 2.0	-	12 VDC, 2.0 A
WiFi Router	Linksys	E5600	NULL	MediaTek MT7621A	2	880	128NAND	128	-	5	b/g/n	a/n/ac	-	-	Yes	12V 1.5A
WiFi Router	Belkin	RT3200	NULL	MediaTek MT7622BV	2	1350	128NAND	512	-	5	b/g/n	a/n/ac/ax	-	1x 2.0	Yes	12V 2A
WiFi Router	Linksys	E900	v1	Broadcom BCM53572	1	300	8	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	Linksys	EA3500	NULL	Marvell 88F6282	1	800	64	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Linksys	E4200	v2	Marvell 88F6282	1	1200	128	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Linksys	EA4500	v1	Marvell 88F6282	1	1200	128	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Linksys	EA4500	v2	Marvell 88F6282	1	1200	128	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Linksys	EA6500	v2	Broadcom BCM4708A0	2	800	128NAND	256	-	5	b/g/n	a/n/ac	-	2x 3.0	-	12 VDC, 3.5 A
WiFi Router	Linksys	E1200	v2	Broadcom BCM5357	1	300	8	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	Linksys	E8450	NULL	MediaTek MT7622BV	2	1350	128NAND	512	-	5	b/g/n	a/n/ac/ax	-	1x 2.0	Yes	12V 2A
WiFi Router	Linksys	EA6200	1.0	Broadcom BCM47081	1	800	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
WiFi Router	Linksys	EA6350	v3 (civic)	Qualcomm Atheros IPQ4018	4	710	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
WiFi Router	Linksys	EA7300	v1	MediaTek MT7621A	2	880	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	Linksys	EA7300	v2	MediaTek MT7621AT	2	880	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	-	12 VDC, 1.5 A
WiFi Router	Linksys	EA8300	NULL	Qualcomm IPQ4019	4	717	256NAND	256	-	5	b/g/n	a/n/ac	4.1	1x 3.0	Yes	12 VDC, 2.0 A
WiFi Router	Linksys	EA8500	v1	Qualcomm Atheros IPQ8064	2	1400	128NAND	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 3.5 A
WiFi Router	Linksys	WRT1200AC	v2 (caiman)	Marvell Armada 385 88F6820	2	1300	128NAND	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	Linksys	WRT3200ACM	v1 (rango)	Marvell Armada 385 88F6820	2	1866	256NAND	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 3.0 A
WiFi Router	Linksys	WRT600N	1.1	Broadcom BCM4785	1	300	8	32	-	5	b/g/n	a/n	-	1x 2.0	-	12 VDC, 2.0 A
NAS	Linksys	NSLU2	NULL	Intel IXP422	1	266	8	32	1	-	-	-	-	2x 2.0	Yes	5 VDC, 2.0 A
Range Extender	Linksys	RE6500	NULL	MediaTek MT7621AT	2	880	8	64	-	4	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	RTP300	1.0	Texas Instruments TNETV1060	1	200	8	32	5	-	b/g/n	-	-	-	Yes	-
Modem	Linksys	WAG160N	v1	Broadcom BCM6358	2	300	4	32	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
Modem	Linksys	WAG160N	v2	Broadcom BCM6358	2	300	4	32	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WAG354G	NULL	Texas Instruments TNETD7300AGDW	1	150	4	16	4	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WAG354G	v2	Texas Instruments TNETD7200ZDW	1	212	4	16	4	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
Modem	Linksys	WAG54G	v2	Texas Instruments TNETD7300GDU (AR7WRD)	1	150	4	16	4	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
Modem	Linksys	WAG54G	v3	Texas Instruments TNETD7200ZDW	1	212	8	32	4	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
Modem	Linksys	WAG54G	v1.1	Broadcom BCM6348	1	240	4	16	-	-	b/g	-	-	-	Yes	-
WiFi Router	Linksys	WAG54GX2	NULL	Broadcom BCM6348	1	240	8	32	4	-	b/g/n	-	-	-	Yes	-
WiFi Router	Linksys	WRH54G	1.0	Broadcom BCM5354	1	240	16	64	5	-	b/g	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	Linksys	WRT150N	v1	Broadcom BCM4704	1	266	4	16	5	-	b/g/n	-	-	-	-	12 VDC, 1.0 A
WiFi Router	Linksys	WRT160N	v3	Broadcom BCM4716	1	300	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	Linksys	WRT160NL	1.6 (CUR06)	Atheros AR9130	1	400	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Linksys	WRT1900AC	v1 (mamba)	Marvell Armada XP MV78230	2	1300	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 4.0 A
WiFi Router	Linksys	WRT1900AC	v2 (cobra)	Marvell Armada 385 88F6820	2	1600	128NAND	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 3.0 A
WiFi Router	Linksys	WRT1900ACS	v2 (shelby)	Marvell Armada 385 88F6820	2	1600	128NAND	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 3.0 A
WiFi Router	Linksys	WRT300N	v1.1	Broadcom BCM5750	1	300	8	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRT300N	v1.0	Broadcom BCM4704	1	300	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRT310N	v1	Broadcom BCM4705	1	300	4	32	-	5	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRT310N	v2	Broadcom BCM4716	1	300	4	32	-	5	b/g/n	-	-	-	-	12 VDC, 1.0 A
WiFi Router	Linksys	WRT320N	v1	Broadcom BCM4717	1	354	8	32	1	4	b/g/n	a/n	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRT32X	v1 (venom)	Marvell Armada 385 88F6820	2	1866	256NAND	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 3.0 A
WiFi Router	Linksys	WRT350N	v1	Broadcom BCM4785	1	300	8	32	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.25 A
WiFi Router	Linksys	WRT350N v2	2.1	Marvell 88F5181L	1	500	8	32	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Linksys	WRT54G	3.0	Broadcom BCM4712	1	200	4	16	5	-	b/g	-	-	Mod	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRT54G	1.0	Broadcom BCM4710	1	125	4	16	5	-	b/g	-	-	-	Yes	5 VDC, 2.0 A
WiFi Router	Linksys	WRT54G	1.1	Broadcom BCM4710	1	125	4	16	5	-	b/g	-	-	-	Yes	-
WiFi Router	Linksys	WRT54G	3.1	Broadcom BCM4712	1	216	4	16	5	-	b/g	-	-	Mod	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRT54G	4.0	Broadcom BCM5352	1	200	4	16	5	-	b/g	-	-	-	Yes	-
WiFi Router	Linksys	WRT54GL	1.1	Broadcom BCM5352	1	200	4	16	5	-	b/g	-	-	Mod	Yes	-
WiFi Router	Linksys	WRT54GS	2.0	Broadcom BCM4712	1	200	8	32	5	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRT54GS	v3.0	Broadcom BCM5352E	1	200	8	32	5	-	b/g	-	-	Mod	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRT54G-TM	v1.0	Broadcom BCM5352E	1	200	8	32	5	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRT54G3GV2(-VF)	1.0	Broadcom BCM5350	1	264	16	32	5	-	b/g	-	-	3x 2.0	Yes	-
WiFi Router	Linksys	WRT610N	v1.0	Broadcom BCM4705	1	300	8	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Linksys	WRT610N	v2.0	Broadcom BCM4718	1	480	8	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Linksys	WRTSL54GS	1.1	Broadcom BCM4704	1	264	8	32	5	-	b/g	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	WRV54G	v1	Intel IXP425	1	266	8	32	5	-	b/g	-	-	-	Yes	5 VDC, 2.5 A
Camera	Linksys	WVC54GCA	NULL	AMD Geode GX1	1	-	4	32	1	-	b/g	-	-	-	-	-
Single Board Computer	Marvell	MACCHIATObin Double Shot	NULL	Marvell Armada 8040	4	1600	microSD	4096	-	1	-	-	-	1x Header	Yes	12 VDC
Single Board Computer	Marvell	MACCHIATObin Single Shot	NULL	Marvell Armada 8040	4	2000	microSD	-	-	1	-	-	-	1x Header	Yes	12 VDC
NAS	Medion	MD86587	v1	PLX NAS7820	2	750	128NAND	128	-	1	-	-	-	2x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Meraki	Mini	NULL	Atheros AR2315	1	180	8	32	1	-	b/g	-	-	-	Yes	7.5 VDC, 1.0 A
WiFi Router	Meraki	MR12	NULL	Atheros AR7242	1	400	16	64	1	1	b/g/n	-	-	-	Yes	12 VDC, 1.5 A, PoE 802.3af
WiFi Router	Meraki	MR16	NULL	Atheros AR7161	1	680	16	64	-	1	b/g/n	a/n	-	-	Yes	12 VDC, PoE 802.3af
WiFi Router	Meraki	MR18	NULL	Qualcomm Atheros QCA9558	1	720	128NAND	128	-	1	b/g/n	a/n	-	-	Yes	12 VDC, 1.5 A, PoE 802.3af
WiFi Router	Meraki	MR24	NULL	AppliedMicro APM82181	1	800	32	128	-	1	b/g/n	a/n	-	-	Yes	12 VDC, 1.5 A
WiFi AP	Meraki	MR32	NULL	Broadcom BCM53016A1	2	1000	128NAND	128	-	1	b/g/n	a/n/ac	4.1	-	Yes	12 VDC, 1.5 A, PoE 802.3af
WiFi AP	Meraki	MR33	NULL	Qualcomm Atheros IPQ4029	4	716	128NAND	256	-	1	b/g/n	a/n/ac	BLE	-	Yes	12 VDC, 37-57 VDC, PoE 802.3af
Router	Meraki	MX60	NULL	AppliedMicro APM82181	1	800	1024	512	-	5	-	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Meraki	MX60W	NULL	AppliedMicro APM82181	1	800	1024	512	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Meraki	Z1	NULL	Atheros AR9344	1	560	128NAND	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.0 A
Travel Router - Battery powered	Mercury	M301	1	Atheros AR7240	1	400	4	32	1	-	b/g/n	-	-	1x mini-USB (power)	Yes	5 VDC (mini-USB), 2000 mAh battery
WiFi Router	Mercury	MAC1200R	v1.1	Atheros AR9344	1	560	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	-
WiFi Router	Mercury	MW150R	v8	Atheros AR9331	1	400	8	32	5	-	b/g/n	-	-	-	Yes	-
WiFi Router	Mercury	MW4530R	v1	Atheros AR9344	1	400	8	128	-	5	b/g/n	-	-	1x 2.0	Yes	-
Single Board Computer	Microduino	MicroWRT Core	NULL	MediaTek MT7620A	1	580	16	64	1	-	b/g/n	-	-	1x 2.0	Yes	5 VDC
WiFi Router	MikroTik	RBD52G-5HacD2HnD-TC ( hAP ac- )	NULL	Qualcomm IPQ4018	4	716	16	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12-28V DC from adapter, or via passive PoE on WAN ethernet #1
WiFi Router	MikroTik	RBLHG-2nD (LHG 2nD)	NULL	Qualcomm Atheros QCA9553	1	650	16	64	1	-	b/g/n	-	-	-	-	Passive PoE 10-30 VDC, 5W
WiFi Router	MikroTik	RBSXTsq2nD (SXTsq Lite2)	NULL	Qualcomm Atheros QCA9553	1	650	16	64	-	-	b/g/n	-	-	-	-	Passive PoE 10-30 VDC, 5W
Router	MikroTik	RB750P-PBr2 (PowerBox)	NULL	Qualcomm Atheros QCA9533	1	650	16	64	5	-	-	-	-	-	Yes	8-30 VDC, passive PoE
WiFi Router	MikroTik	RB921GS-5HPacD-15S (mANTBox 15s)	NULL	Qualcomm Atheros QCA9558	1	720	128NAND	128	-	1	-	a/n/ac	-	-	Yes	12-28 VDC barrel jack, passive PoE 9-30 VDC
WiFi AP	MikroTik	RB952Ui-5ac2nD (hAP ac lite)	NULL	Qualcomm Atheros QCA9531	1	650	16	64	5	-	b/g/n	a/n/ac	-	1x 2.0	-	10-28 VDC barrel jack, 10-28 VDC passive PoE
WiFi AP	MikroTik	RBSXT2nDr3 (SXT Lite 2)	R3	Atheros AR9344	1	600	16	64	1	-	b/g/n	-	-	-	-	Passive PoE 8-30 VDC, 6W
WiFi AP	MikroTik	RBwAPR-2nD (wAP R)	NULL	Qualcomm Atheros QCA9531	1	650	16	64	1	-	b/g/n	-	-	1x Header	-	9-30V Passive PoE, 9-30V DC jack, 9-30V automotive jack
Single Board Computer	MikroTik	RB133	NULL	Infineon ADM5120	1	175	64	32	3	-	-	-	-	-	Yes	9-28 VDC, PoE
Single Board Computer	MikroTik	RB2011	NULL	Atheros AR9344	1	600	-	128	5	5	b/g/n	-	-	Yes	Yes	7-31 VDC, 6W
Router	MikroTik	RB2011L	NULL	Atheros AR9344	1	600	128NAND	128	5	5	-	-	-	-	Yes	8-30 V DC, 8-30 V passive PoE
Router	MikroTik	RB2011iL	NULL	Atheros AR9344	1	600	128NAND	128	5	5	-	-		-	Yes	8-30 V DC, 8-30 V passive PoE
Router	MikroTik	RB2011iLS	NULL	Atheros AR9344	1	600	128NAND	128	5	5	-	-		-	Yes	8-30 V DC, 8-30 V passive PoE
Router	MikroTik	RB2011LS	NULL	Atheros AR9344	1	600	128NAND	128	5	5	-	-		-	Yes	8-30 V DC, 8-30 V passive PoE
Router	MikroTik	RB2011UAS	NULL	Atheros AR9344	1	600	128NAND	128	5	5	-	-		1x OTG	Yes	8-30 V DC, 8-30 V passive PoE
Router	MikroTik	RB2011UiAS	NULL	Atheros AR9344	1	600	128NAND	128	5	5				1x OTG	Yes	8-30 V DC, 8-30 V passive PoE
WiFi Router	MikroTik	RB2011UAS-2HnD	NULL	Atheros AR9344	1	600	128NAND	128	5	5	b/g/n			1x OTG	Yes	8-30 V DC, 8-30 V passive PoE
WiFi Router	MikroTik	RB2011UiAS-2HnD	NULL	Atheros AR9344	1	600	128NAND	128	5	5	b/g/n			1x OTG	Yes	8-30 V DC, 8-30 V passive PoE
Single Board Computer	MikroTik	RB2011UAS-2HnD-IN	NULL	Atheros AR9344	1	600	128NAND	128	5	5	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	MikroTik	RB2011UiAS-2HnD-IN	r2	Atheros AR9344	1	600	128NAND	128	5	5	b/g/n	-	-	1x 2.0	Yes	8-30 VDC, passive PoE
Single Board Computer	MikroTik	RB411	NULL	Atheros AR7130	1	300	64NAND	32	1	-	-	-	-	Mod	Yes	12-28 VDC
Single Board Computer	MikroTik	RB411AH	NULL	Atheros AR7130	1	680	64NAND	64	1	-	-	-	-	Mod	-	-
Single Board Computer	MikroTik	RB411U	NULL	Atheros AR7130	1	300	64NAND	32	1	-	-	-	-	1x 2.0	-	-
Single Board Computer	MikroTik	RB411UAHR	NULL	Atheros AR7161	1	680	64NAND	64	1	-	b/g	-	-	1x 2.0	Yes	10-28 VDC
Single Board Computer	MikroTik	RB433	NULL	Atheros AR7130	1	300	64NAND	64	3	-	-	-	-	Mod	Yes	10-28 VDC barrel jack, 10-28 VDC passive PoE
Single Board Computer	MikroTik	RB433AH	NULL	Atheros AR7161	1	680	microSD	128	3	-	-	-	-	Mod	-	-
Single Board Computer	MikroTik	RB433UAH	NULL	Atheros AR7161	1	680	microSD	128	3	-	-	-	-	2x 2.0	Yes	10-28 VDC
Single Board Computer	MikroTik	RB435G	NULL	Atheros AR7161	1	680	microSD	256	-	3	-	-	-	2x 2.0	Yes	8-28 VDC barrel jack, 8-28 VDC passive PoE
Single Board Computer	MikroTik	RB450	NULL	Atheros AR7161	1	300	64NAND	32	5	-	-	-	-	-	Yes	-
Single Board Computer	MikroTik	RB450G	NULL	Atheros AR7161	1	680	512NAND	256	-	5	-	-	-	-	Yes	24 VDC, 0.8 A
Single Board Computer	MikroTik	RB493	NULL	Atheros AR7130	1	300	64NAND	64	9	-	-	-	-	-	Yes	Passive PoE 10-28 VDC
Router	MikroTik	RB493G	NULL	Atheros AR7161	1	680	microSD	256	-	9	-	-	-	1x 2.0	Yes	8-28 VDC barrel jack, 8-28 VDC passive PoE
Single Board Computer	MikroTik	RB532	NULL	IDT 79RC32H435	1	266	128NAND	32	3	-	-	-	-	-	Yes	12-48 VDC, PoE 802.3af
Single Board Computer	MikroTik	RB532A	NULL	IDT 79RC32H435	1	400	128NAND	64	3	-	-	-	-	-	Yes	12-48 VDC, PoE 802.3af
Single Board Computer	MikroTik	RB750	NULL	Atheros AR7240	1	300	64NAND	32	5	-	-	-	-	-	-	12 VDC, 1.0 A, PoE
Router	MikroTik	RB750r2 (hEX lite)	NULL	Qualcomm Atheros QCA9533	1	850	16	64	5	-	-	-	-	-	Yes	6-30 VDC, max. 2W
Single Board Computer	MikroTik	RB750GL	NULL	Atheros AR7242	1	400	128NAND	64	-	5	-	-	-	-	No	12 VDC, 1.0 A, PoE 802.3af
Router	MikroTik	RB750Gr3	NULL	MediaTek MT7621AT	2	880	16	256	-	5	-	-	-	1x 2.0	Yes	24 VDC, 0.8 A, PoE
Router	MikroTik	RB750UP	NULL	Atheros AR7241	1	400	64NAND	32	5	-	-	-	-	1x 2.0	-	-
Single Board Computer	MikroTik	RB912UAG-5HPnd	NULL	Atheros AR9342	1	600	128NAND	64	-	1	b/g/n	a/n	-	1x 2.0	Yes	8-30 VDC barrel jack, 8-30 VDC passive PoE
WiFi Router	MikroTik	RB941-2nD (hAP lite)	NULL	Qualcomm Atheros QCA9533	1	650	16	32	4	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC, 0.6 A
WiFi Router	MikroTik	RB941-2nD-TC (hAP lite)	NULL	Qualcomm Atheros QCA9533	1	650	16	32	4	-	b/g/n	-	-	-	Yes	5 VDC, 0.5 A
Single Board Computer	MikroTik	RB951G-2HnD	NULL	Atheros AR9344	1	600	128NAND	128	-	5	b/g/n	-	-	1x 2.0	Yes	PoE
Single Board Computer	MikroTik	RB951Ui-2HnD	NULL	Atheros AR9344	1	600	128NAND	128	5	-	b/g/n	-	-	1x 2.0	Yes	9-30 VDC barrel jack, 9-30 VDC passive PoE
WiFi Router	MikroTik	RB951Ui-2nD (hAP)	NULL	Qualcomm Atheros QCA9531	1	650	16	64	5	-	b/g/n	-	-	1x 2.0	Yes	10-28 VDC barrel jack, 10-28 VDC passive PoE
Single Board Computer	MikroTik	RBM11G	NULL	MediaTek MT7621A	2	880	16	256	-	1	-	-	-	-	Yes	10-30 VDC barrel jack, 10-30 VDC passive PoE
Router	MikroTik	RBM33G	NULL	MediaTek MT7621A	2	880	16	256	-	3	-	-	-	1x 3.0	Yes	11-32 VDC barrel jack, 11-32 VDC passive PoE
WiFi AP	MikroTik	RBwAPG-5HacD2HnD (wAP AC)	NULL	Qualcomm Atheros IPQ4018	4	716	16	128	-	2	b/g/n	a/n/ac	-	-	Yes	PoE 802.3af/at, DC jack, 24 V
Single Board Computer	Evaluation boards / unbranded boards	Minnowboard Max	NULL	Intel Atom E3825	2	1333	8	2048	-	1	-	-	-	1x 3.0	-	-
WiFi Router	MQMaker	WiTi Board	v2.0 / 256MB	MediaTek MT7621A	2	880	16	256	-	6	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
WiFi Router	MQMaker	WiTi Board	v2.0 / 512MB	MediaTek MT7621A	2	880	16	512	-	6	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
WiFi Router	Multilaser	RE027	v1	Atheros AR7240	1	350	4	32	5	-	b/g/n	-	-	-	Yes	-
Modem	NetComm	NB6PLUS4W	Rev1	Broadcom BCM6348	1	256	4	16	4	-	b/g	-	-	1x 1.1 Device	Yes	-
WiFi Router	ZTE	ZXDSL 531B(II)	NULL	Broadcom BCM6348	1	240	4	16	4	-	b/g	-	-	1x 1.1 Device	Yes	12 VDC, 1.0 A
Modem	NETGEAR	D7800	NULL	Qualcomm Atheros IPQ8064	2	1400	128	256	-	5	b/g/n	a/n/ac	-	2x 3.0	-	19 VDC, 3.16 A
WiFi Router	NETGEAR	DG834G	v2	Texas Instruments TNETD7300	1	150	4	16	4	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	NETGEAR	DG834G	v3	Texas Instruments TNETD7200ZDW	1	211	4	16	4	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
